ultimateparentid,rssd,year,best_match,callReports_sample,summaryOfDeposits_sample,federalReserve_sample
6361,52223,1988,1,1,0,0
6361,52223,1991,1,1,0,0
7898,53369,1988,1,1,0,0
7898,53369,1989,1,1,0,0
7898,53369,1990,1,1,0,0
7898,53369,1991,1,1,0,0
28490,55318,1999,1,1,0,0
93742,55466,2008,0,1,0,0
93742,55466,2009,0,1,0,0
93742,55466,2010,0,1,0,0
93742,55466,2011,0,1,0,0
143981,56258,2012,1,1,1,1
143981,56258,2014,1,1,1,1
8902,58065,1987,1,1,0,0
8902,58065,1988,1,1,0,0
8902,58065,1989,1,1,0,0
8902,58065,1990,1,1,0,0
8902,58065,1991,1,1,0,0
8902,58065,1992,1,1,0,0
8902,58065,1993,1,1,0,0
8902,58065,1994,1,1,0,0
8902,58065,1995,1,1,0,0
8902,58065,1996,1,1,0,0
33598,58551,1999,1,1,1,1
33598,58551,2006,1,1,1,1
147579,59316,2013,1,1,1,1
147579,59316,2015,1,1,1,1
123787,61355,2008,1,1,1,1
10051,64619,1990,1,1,0,0
10051,64619,1991,1,1,0,0
10051,64619,1992,1,1,0,0
10051,64619,1993,1,1,0,0
10051,64619,1994,1,1,1,0
10051,64619,1995,1,1,1,0
10051,64619,1997,1,1,1,0
109747,64619,1998,1,1,1,0
109747,64619,1999,1,1,1,0
109747,64619,2004,1,1,1,0
109747,64619,2005,1,1,1,0
109747,64619,2007,1,1,1,0
109747,64619,2009,1,1,1,0
109747,64619,2010,1,1,1,0
12217,64842,1988,1,1,0,0
12217,64842,1991,0,1,0,0
12217,64842,1994,0,1,1,0
12217,64842,1996,0,1,1,0
10051,65513,1997,0,1,1,1
127943,65812,1987,0,1,0,0
127943,65812,1988,0,1,0,0
127943,65812,1989,0,1,0,0
127943,65812,1990,0,1,0,0
127943,65812,1991,0,1,0,0
127943,65812,1992,0,1,0,0
139115,65812,1993,0,1,0,0
139115,65812,1994,0,1,0,0
139115,65812,1995,0,1,0,0
127943,65812,1996,0,1,0,0
139115,65812,1997,0,1,0,0
27293,65812,1998,0,1,0,0
127943,65812,1999,0,1,0,0
127943,65812,2000,0,1,0,0
127943,65812,2001,0,1,0,0
139115,65812,2002,0,1,0,0
139115,65812,2003,0,1,0,0
139115,65812,2004,0,1,0,0
139115,65812,2005,0,1,0,0
139115,65812,2006,0,1,0,0
99891,65812,2007,0,1,0,0
139115,65812,2008,0,1,0,0
139115,65812,2009,0,1,0,0
139115,65812,2010,0,1,0,0
89357,65812,2011,0,1,0,0
64482,65812,2012,0,1,0,0
27070,65858,1997,1,1,1,1
27070,65858,2001,1,1,1,1
27070,65858,2004,1,1,1,1
27070,65858,2007,1,1,1,1
27070,65858,2010,1,1,1,1
11581,66613,1992,0,1,0,1
7852,67058,1987,0,1,0,0
7852,67058,1988,0,1,0,0
7852,67058,1989,0,1,0,0
7852,67058,1990,0,1,0,0
7852,67058,2000,0,1,0,0
7852,67058,2001,0,1,0,0
7852,67058,2002,0,1,0,0
7852,67058,2003,0,1,0,0
7852,67058,2004,0,1,0,0
7852,67058,2005,0,1,0,0
7852,67058,2006,0,1,0,0
7852,67058,2007,0,1,0,0
7852,67058,2008,0,1,0,0
7852,67058,2009,0,1,0,0
7852,67058,2010,0,1,0,0
7852,67058,2011,0,1,0,0
7852,67058,2012,0,1,0,0
7852,67058,2013,0,1,0,0
7852,67058,2014,0,1,0,0
7852,67058,2015,0,1,0,0
17827,67311,1995,1,1,1,0
17827,67311,1996,1,1,1,0
6354,67441,1988,0,1,0,0
6308,68046,1987,1,1,0,1
21624,68840,2009,0,1,1,1
21624,68840,2010,0,1,1,1
21624,68840,2011,0,1,1,1
21624,68840,2012,0,1,1,1
21624,68840,2013,0,1,1,1
21624,68840,2015,0,1,1,1
28431,73116,1997,1,1,1,1
140101,74140,2012,1,1,1,1
140101,74140,2015,1,1,1,1
154500,75259,2015,1,1,1,1
127349,75464,1989,0,1,0,0
127349,75464,1990,0,1,0,0
127349,75464,1991,0,1,0,0
11527,75633,2006,1,1,1,1
6516,76135,1989,1,1,0,1
6516,76135,1990,1,1,0,1
6516,76135,1992,1,1,0,1
6516,76135,1994,1,1,1,1
6516,76135,1995,1,1,1,1
6516,76135,2000,1,1,1,1
6516,76135,2003,1,1,1,1
28125,76201,1993,1,1,0,0
13296,76845,1992,1,1,0,1
6368,77730,1989,1,1,0,0
6368,77730,1990,1,1,0,0
6368,77730,1992,1,1,0,0
6368,77730,1994,1,1,1,0
26514,77851,2005,1,1,1,1
26514,77851,2006,1,1,1,1
26514,77851,2007,1,1,1,1
26514,77851,2008,1,1,1,1
26514,77851,2009,1,1,1,1
26514,77851,2010,1,1,1,1
26514,77851,2013,1,1,1,1
26514,77851,2014,1,1,1,1
26514,77851,2015,1,1,1,1
6229,78335,1988,1,1,0,0
6229,78335,1989,1,1,0,0
6229,78335,1990,1,1,0,0
6229,78335,1991,1,1,0,0
6229,78335,1992,1,1,0,0
6229,78335,1993,1,1,0,0
6229,78335,1994,1,1,1,0
6229,78335,1995,1,1,1,0
6229,78335,1996,1,1,1,0
6229,78335,1997,1,1,1,0
6229,78335,1998,1,1,1,0
6551,80150,1987,0,1,0,1
6551,80150,1988,0,1,0,1
6551,80150,1989,0,1,0,1
6551,80150,1990,0,1,0,1
6551,80150,1991,0,1,0,1
6551,80150,1992,0,1,0,1
6551,80150,1993,0,1,0,1
6551,80150,1994,0,1,1,1
6551,80150,1995,0,1,1,1
6551,80150,1996,0,1,1,1
6551,80150,1998,0,1,1,1
6551,80150,2001,0,1,1,1
6551,80150,2002,0,1,1,1
6551,80150,2003,0,1,1,1
6551,80150,2004,0,1,1,1
6551,80150,2005,0,1,1,1
6551,80150,2006,0,1,1,1
6551,80150,2007,0,1,1,1
6551,80150,2008,0,1,1,1
6551,80150,2009,0,1,1,1
6551,80150,2010,0,1,1,1
6551,80150,2011,0,1,1,1
6551,80150,2012,0,1,1,1
6551,80150,2013,0,1,1,1
6551,80150,2014,0,1,1,1
6551,80150,2015,0,1,1,1
21624,80431,2009,0,1,1,1
21624,80431,2010,0,1,1,1
21624,80431,2011,0,1,1,1
21624,80431,2012,0,1,1,1
21624,80431,2013,0,1,1,1
21624,80431,2015,0,1,1,1
32133,82024,1999,1,1,1,0
32133,82024,2000,1,1,1,0
32133,82024,2001,1,1,1,0
32133,82024,2002,1,1,1,0
32133,82024,2003,1,1,1,0
10857,83058,1991,1,1,0,0
6221,83254,1987,0,1,0,1
6327,83834,1998,1,1,1,1
6327,83834,2002,1,1,1,1
6327,83834,2004,1,1,1,1
6327,83834,2005,1,1,1,1
6327,83834,2010,1,1,1,1
16273,85315,1993,1,1,0,0
17155,86509,2007,0,1,0,0
17155,86509,2008,0,1,0,0
17155,86509,2009,0,1,0,0
17155,86509,2010,0,1,0,0
17155,86509,2011,0,1,0,0
17155,86509,2012,0,1,0,0
17155,86509,2013,0,1,0,0
17155,86509,2014,0,1,0,0
17155,86509,2015,0,1,0,0
131617,86527,2010,1,1,1,0
83658,88455,2014,1,1,1,1
83658,88455,2015,1,1,1,1
127254,90300,1987,0,1,0,0
127254,90300,1988,0,1,0,0
127254,90300,1989,0,1,0,0
6279,90403,1995,1,1,1,1
6279,90403,1996,1,1,1,1
6263,91437,1988,0,1,0,1
6263,91437,1989,0,1,0,1
6263,91437,1990,0,1,0,1
6263,91437,1991,0,1,0,1
6263,91437,1992,1,1,0,1
21216,91642,1995,0,1,1,0
21216,91642,1999,0,1,1,0
88915,91969,2002,1,1,1,1
7898,93217,1989,0,1,0,0
